0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
ARS,1.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0
AVL,4.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,5.0,2.0,3.0,3.0,4.0,2.0
BOU,2.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,5.0,2.0,3.0
BRE,3.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0
BHA,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0
BUR,5.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,5.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0
CHE,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0
CRY,2.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0,3.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,3.0,3.0,2.0,3.0
EVE,2.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0
FUL,2.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0
LIV,3.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0
LUT,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0
MCI,2.0,3.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0
MUN,2.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,5.0,3.0
NEW,3.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
NFO,5.0,2.0,4.0,3.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,2.0
SHU,2.0,2.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,2.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0
TOT,2.0,3.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0
WHU,2.0,3.0,3.0,2.0,5.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,5.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0
WOL,4.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,5.0,2.0,5.0
